ANSTY TYPE C,3,60.000000,150.000000
MILLION TYPE C,2,100.000000,250.000000
TYPE C TO TYPE C,1,120.000000,350.000000
3PIN ADAPTER 5V/1A,-1,60.000000,150.000000
JACK TO JACK 1.5M,1,50.000000,120.000000
JACK TO JACK MEDIUM,1,40.000000,100.000000
JACK TO JACK SHORT,2,30.000000,70.000000
GAME PAD,1,350.000000,650.000000
RED AND BLACK SPEAKER CABLE,29,3.600000,20.000000
GREEN AND WHITE SPEAKER CABLE,39,6.700000,30.000000
ICE POP,114,6.666667,15.000000
AVC 5W,-1,35.000000,70.000000
2 BY 1 RCA CABLE (SHINNY),4,40.000000,120.000000
2 BY 1 RCA BLUE,2,50.000000,100.000000
WATCH BATTERY SMALL(1.55V),1,5.000000,20.000000
REMOTE BATTERY (CR2025),2,14.000000,50.000000
RECHEARGABLE MOUSE,1,400.000000,700.000000
3D SCREEN PROTECTOR,10,45.000000,200.000000
NORMAL SCREEN PROTECTOR,47,30.000000,100.000000
GOLD COVER,2,135.000000,300.000000
SOFT SILICON COVER,-2,45.000000,200.000000
HARD SILICON,24,60.000000,250.000000
FLOWER / GLITTER COVER,9,125.000000,300.000000
HARD CASE PHONE COVER,1,150.000000,400.000000
LEATHER LIKE COVER,5,40.000000,200.000000
PLASTIC COVER,3,100.000000,200.000000
TOP NEXUS PLUG,5,25.000000,50.000000
REGRESSI MICRO CABLE,0,0.000000,0.000000
X-BASS,1,800.000000,1600.000000
P47 HEADPHONES,4,0.000000,0.000000
SONY 450BT,1,650.000000,1400.000000
ITEL CABLE,-15,0.000000,0.000000
YBS EARPHONES,5,0.000000,0.000000
HANGING HOLDER,1,25.000000,50.000000
BLACK EXTENSION,2,100.000000,200.000000
POWER KING 4 WAY,1,200.000000,450.000000
VOLTAGE TESTER (SMALL),-4,35.000000,50.000000
RP ROYAL PLUG,3,60.000000,100.000000
RJ 45,15,3.000000,10.000000
GMA ORIGINAL,-1,0.000000,0.000000
3 BY 3 RCA,3,40.000000,100.000000
BLACK HEATER,2,160.000000,270.000000
AMAYA POWER BANK 20000MAh,1,1750.000000,2750.000000
DP INTELLIGENT 7W,1,180.000000,300.000000
3-PIN RADIO CABLE,1,50.000000,120.000000
SMALL OTG MICRO,1,30.000000,80.000000
SMALL OTG TYPE C,2,40.000000,100.000000
HP BIG LAPTOP CHARGER,1,600.000000,1200.000000
LENOVO BIG LAPTOP CHARGER,-1,600.000000,1200.000000
R15 BLUETOOTH SPEAKER,1,750.000000,1350.000000
POWER KING WITH SWITCH (4-WAY,1,320.000000,650.000000
SURGE STABILIZER 4-WAY EXTENSION,1,600.000000,1200.000000
MAKEL 2-WAY EXTENSION,1,130.000000,200.000000
BAB-ASTRA 4-WAY EXTENSION,1,260.000000,550.000000
PBSROYALTY BULB HOLDER,4,35.000000,70.000000
HIGH SPEND BULB HOLER,1,70.000000,150.000000
CAMBIY SITCH MULTIPLUG,1,60.000000,120.000000
BLACK TOP PLUG,1,55.000000,100.000000
DUAL USB CHARGER 18W,1,150.000000,450.000000
ORAIMO TYPE C CABLE,-1,50.000000,120.000000
YELLOW SOLDERING GUN,2,0.000000,0.000000
SOLDERING IRON (MEASURED 0.5 M),12,12.500000,25.000000
SAMSUNG NOTE4 CHARGER HEAD,1,0.000000,0.000000
2-PIN ADAPTOR TYPE-C,3,230.000000,500.000000
ITEL IT2163 PHONE,1,850.000000,1400.000000
SUNELAN S8 PHONE,1,650.000000,1000.000000
BONTEL L1100 PHONE,1,900.000000,1500.000000
BONTEL L200 PHONE,-1,900.000000,1500.000000
OKING 0K135 PHONE,-1,750.000000,1300.000000
3A TYPE C CABLE,-1,50.000000,100.000000
GO TV AERIAL JACK,1,15.000000,30.000000
SLIM DIGITAL WATCH,1,100.000000,200.000000
HUIGIN METALLIC BAND WATCH,1,210.000000,400.000000
DOLL WATCH,2,100.000000,200.000000
HUIGIN RUBBER BAND WATCH,1,150.000000,300.000000
BIG SCREEN DIGITAL WATCH,1,300.000000,500.000000
ICE CONE,-302,16.250000,30.000000
VOLTAGE TESTER (BIG),2,55.000000,100.000000
AMAYA CHARGER HEAD,1,140.000000,300.000000
PUNEX CABLE MICRO,1,100.000000,300.000000
ITEL INPODS,-1,350.000000,1000.000000
ORAIMO PLAIN CHARGER,1,110.000000,300.000000
SHUER HEADPHONES,1,220.000000,500.000000
INTELLIGENT WATER DISPENSER,1,450.000000,900.000000
ITEL 2A CABLE,17,35.000000,100.000000
SNAKE LIGHT ADAPTER,5,180.000000,350.000000
CELLO TAPE (SMALL),2,10.000000,20.000000
CELLO TAPE (BIG),1,50.000000,70.000000
KK C11 (MICRO) CABLE,1,50.000000,150.000000
FLAMINGO CABLE (MICRO),-1,12.000000,150.000000
6A MICRO CABLE,3,50.000000,150.000000
MASKING TAPE (THIN),1,16.250000,40.000000
MASKING TAPE (THICK),1,18.750000,60.000000
SONAR DECODER,-1,1000.000000,1700.000000
STARTIMES DECODER,-1,1200.000000,1950.000000
GO TV DECODER,-1,1500.000000,2600.000000
45W TYPE C CHARGER,1,550.000000,1200.000000
SINGLE PATRESS,5,20.000000,25.000000
SNAKE LIGHT 5M,1,350.000000,700.000000
SIMBA STICK,114,24.500000,40.000000
